video_samples,,agreeableness,  ,conscientiousness,  ,extraversion,  ,openness,  ,neuroticism,  ,interview
['--Ymqszjv54.001.mp4'],  ,[0.5274725274725275],  ,[0.6504854368932039],  ,[0.5514018691588786],  ,[0.7444444444444444],  ,[0.5],  ,[0.5887850467289719]
['--Ymqszjv54.003.mp4'],  ,[0.5164835164835165],  ,[0.47572815533980584],  ,[0.39252336448598135],  ,[0.4666666666666667],  ,[0.42708333333333337],  ,[0.3925233644859813]
['--Ymqszjv54.004.mp4'],  ,[0.5494505494505494],  ,[0.36893203883495146],  ,[0.3177570093457944],  ,[0.5444444444444444],  ,[0.32291666666666663],  ,[0.40186915887850466]
['--Ymqszjv54.005.mp4'],  ,[0.3736263736263736],  ,[0.3203883495145631],  ,[0.29906542056074764],  ,[0.34444444444444444],  ,[0.29166666666666663],  ,[0.2803738317757009]
['-2qsCrkXdWs.001.mp4'],  ,[0.5934065934065933],  ,[0.5728155339805825],  ,[0.47663551401869164],  ,[0.611111111111111],  ,[0.6041666666666666],  ,[0.5607476635514018]
['-55DRRMTppE.000.mp4'],  ,[0.6483516483516484],  ,[0.7184466019417477],  ,[0.5794392523364487],  ,[0.6],  ,[0.65625],  ,[0.616822429906542]
['-55DRRMTppE.005.mp4'],  ,[0.7692307692307692],  ,[0.7378640776699029],  ,[0.7383177570093458],  ,[0.7333333333333333],  ,[0.6875],  ,[0.7570093457943924]
['-5riMLK-PgU.001.mp4'],  ,[0.5164835164835165],  ,[0.30097087378640774],  ,[0.5046728971962617],  ,[0.5555555555555556],  ,[0.3333333333333333],  ,[0.37383177570093457]
['-6otZ7M-Mro.000.mp4'],  ,[0.6153846153846153],  ,[0.7281553398058251],  ,[0.5514018691588786],  ,[0.7],  ,[0.59375],  ,[0.644859813084112]
['-6otZ7M-Mro.001.mp4'],  ,[0.7692307692307692],  ,[0.6990291262135921],  ,[0.4672897196261683],  ,[0.7],  ,[0.5729166666666666],  ,[0.6728971962616823]
['-8asrRvfJWA.003.mp4'],  ,[0.4725274725274725],  ,[0.4466019417475728],  ,[0.4485981308411215],  ,[0.4777777777777778],  ,[0.3645833333333333],  ,[0.3457943925233644]
['-8asrRvfJWA.004.mp4'],  ,[0.6153846153846153],  ,[0.7864077669902914],  ,[0.6728971962616823],  ,[0.8666666666666667],  ,[0.6458333333333333],  ,[0.7289719626168224]
['-9BZ8A9U7TE.000.mp4'],  ,[0.4395604395604395],  ,[0.3495145631067961],  ,[0.38317757009345793],  ,[0.4777777777777778],  ,[0.3125],  ,[0.2523364485981308]
['-9BZ8A9U7TE.003.mp4'],  ,[0.5274725274725275],  ,[0.27184466019417475],  ,[0.4299065420560748],  ,[0.4666666666666667],  ,[0.45833333333333337],  ,[0.3925233644859813]
['-9BZ8A9U7TE.004.mp4'],  ,[0.6043956043956044],  ,[0.4174757281553398],  ,[0.5046728971962617],  ,[0.611111111111111],  ,[0.59375],  ,[0.4859813084112149]
['-AmMDnVl4s8.003.mp4'],  ,[0.824175824175824],  ,[0.7572815533980582],  ,[0.7663551401869159],  ,[0.7888888888888888],  ,[0.84375],  ,[0.7383177570093457]
['-C5M9g4Quzc.002.mp4'],  ,[0.6153846153846153],  ,[0.47572815533980584],  ,[0.588785046728972],  ,[0.4888888888888889],  ,[0.5104166666666666],  ,[0.5046728971962616]
['-DOqN0d8KHw.002.mp4'],  ,[0.5714285714285714],  ,[0.4368932038834952],  ,[0.4112149532710281],  ,[0.611111111111111],  ,[0.4479166666666667],  ,[0.4579439252336448]
['-DOqN0d8KHw.003.mp4'],  ,[0.6483516483516484],  ,[0.4951456310679611],  ,[0.5514018691588786],  ,[0.5333333333333333],  ,[0.4479166666666667],  ,[0.3831775700934579]
['-Gl98Jn45Fs.000.mp4'],  ,[0.5274725274725275],  ,[0.6213592233009709],  ,[0.4485981308411215],  ,[0.5222222222222223],  ,[0.5208333333333334],  ,[0.4953271028037382]
['-Gl98Jn45Fs.001.mp4'],  ,[0.6153846153846153],  ,[0.6407766990291262],  ,[0.6542056074766356],  ,[0.6666666666666666],  ,[0.5729166666666666],  ,[0.5887850467289719]
['-Gl98Jn45Fs.003.mp4'],  ,[0.5054945054945055],  ,[0.5728155339805825],  ,[0.5327102803738318],  ,[0.6555555555555556],  ,[0.6770833333333334],  ,[0.6355140186915886]
['-IK--4uz5ZY.000.mp4'],  ,[0.6043956043956044],  ,[0.6796116504854369],  ,[0.5794392523364487],  ,[0.5888888888888889],  ,[0.5625],  ,[0.6355140186915886]
['-IK--4uz5ZY.002.mp4'],  ,[0.5274725274725275],  ,[0.6601941747572816],  ,[0.5420560747663552],  ,[0.5666666666666667],  ,[0.6354166666666666],  ,[0.6074766355140186]
['-IK--4uz5ZY.003.mp4'],  ,[0.7032967032967032],  ,[0.6601941747572816],  ,[0.6448598130841123],  ,[0.7444444444444444],  ,[0.6770833333333334],  ,[0.7102803738317757]
['-IK--4uz5ZY.004.mp4'],  ,[0.7472527472527474],  ,[0.6893203883495147],  ,[0.7476635514018694],  ,[0.811111111111111],  ,[0.6770833333333334],  ,[0.7850467289719626]
['-N6QKrbnaDs.005.mp4'],  ,[0.4285714285714285],  ,[0.4563106796116505],  ,[0.48598130841121495],  ,[0.5222222222222223],  ,[0.45833333333333337],  ,[0.4205607476635514]
['-NwfYYf5xLo.005.mp4'],  ,[0.7252747252747254],  ,[0.6796116504854369],  ,[0.7009345794392524],  ,[0.7444444444444444],  ,[0.6979166666666666],  ,[0.7476635514018691]
['-OXMbG7ZwRk.000.mp4'],  ,[0.6153846153846153],  ,[0.7281553398058251],  ,[0.5233644859813085],  ,[0.7444444444444444],  ,[0.5520833333333334],  ,[0.5233644859813084]
['-OXMbG7ZwRk.003.mp4'],  ,[0.5054945054945055],  ,[0.5922330097087379],  ,[0.47663551401869164],  ,[0.8222222222222221],  ,[0.53125],  ,[0.5514018691588785]
